SPEAKER         id       #SENT      #WORD       Corr        Sub        Ins        Del        Err      S.Err
F100373309      raw         56        628        553         13          3         62         78         25
F100373309      sys         56        628      88.06       2.07       0.48       9.87      12.42      44.64
F1012955553     raw         59        764        629         43         24         92        159         38
F1012955553     sys         59        764      82.33       5.63       3.14      12.04      20.81      64.41
F1013534506     raw         17        245        245          0          8          0          8          3
F1013534506     sys         17        245     100.00       0.00       3.27       0.00       3.27      17.65
F1020274925     raw         22        214        202          1          9         11         21         13
F1020274925     sys         22        214      94.39       0.47       4.21       5.14       9.81      59.09
F1020908774     raw         26        268        229          8          3         31         42         12
F1020908774     sys         26        268      85.45       2.99       1.12      11.57      15.67      46.15
F1024651750     raw         11        179        177          1          1          1          3          2
F1024651750     sys         11        179      98.88       0.56       0.56       0.56       1.68      18.18
F1047222920     raw         46        446        403          4          1         39         44         12
F1047222920     sys         46        446      90.36       0.90       0.22       8.74       9.87      26.09
F1055725605     raw         11         60         60          0          1          0          1          1
F1055725605     sys         11         60     100.00       0.00       1.67       0.00       1.67       9.09
F1073596912     raw         11        151        135         15         10          1         26          9
F1073596912     sys         11        151      89.40       9.93       6.62       0.66      17.22      81.82
F1077368918     raw         12        330        297          3          4         30         37          7
F1077368918     sys         12        330      90.00       0.91       1.21       9.09      11.21      58.33
F107889307      raw         21        219        195          5          3         19         27          8
F107889307      sys         21        219      89.04       2.28       1.37       8.68      12.33      38.10
F1081051811     raw         20        250        250          0          6          0          6          2
F1081051811     sys         20        250     100.00       0.00       2.40       0.00       2.40      10.00
F1088280285     raw         13        321        315          4          0          2          6          4
F1088280285     sys         13        321      98.13       1.25       0.00       0.62       1.87      30.77
F1103192869     raw         21        207        203          0          2          4          6          2
F1103192869     sys         21        207      98.07       0.00       0.97       1.93       2.90       9.52
F110669528      raw         26        189        156          3          8         30         41          9
F110669528      sys         26        189      82.54       1.59       4.23      15.87      21.69      34.62
F1109779112     raw         27        240        135         68         10         37        115         26
F1109779112     sys         27        240      56.25      28.33       4.17      15.42      47.92      96.30
F112547071      raw          1         17          2          1          0         14         15          1
F112547071      sys          1         17      11.76       5.88       0.00      82.35      88.24     100.00
F1133235623     raw         47        480        444          3          2         33         38         15
F1133235623     sys         47        480      92.50       0.62       0.42       6.88       7.92      31.91
F113728088      raw         14        158        135          6          2         17         25          5
F113728088      sys         14        158      85.44       3.80       1.27      10.76      15.82      35.71
F1154737934     raw          7        313        301          2         15         10         27          4
F1154737934     sys          7        313      96.17       0.64       4.79       3.19       8.63      57.14
F116249916      raw         27        267        238         18         10         11         39         11
F116249916      sys         27        267      89.14       6.74       3.75       4.12      14.61      40.74
F1188958280     raw         42        544        413         40          9         91        140         35
F1188958280     sys         42        544      75.92       7.35       1.65      16.73      25.74      83.33
F1224686962     raw         33        225        210          7         14          8         29         12
F1224686962     sys         33        225      93.33       3.11       6.22       3.56      12.89      36.36
F1240551525     raw         29        336        308          9          4         19         32         15
F1240551525     sys         29        336      91.67       2.68       1.19       5.65       9.52      51.72
F124679816      raw         42        549        497          8         13         44         65         16
F124679816      sys         42        549      90.53       1.46       2.37       8.01      11.84      38.10
F125301051      raw         13        203        193          0          5         10         15          6
F125301051      sys         13        203      95.07       0.00       2.46       4.93       7.39      46.15
F1257835311     raw         18        106         99          3          0          4          7          5
F1257835311     sys         18        106      93.40       2.83       0.00       3.77       6.60      27.78
F1261578186     raw         30        255        223         29          5          3         37         14
F1261578186     sys         30        255      87.45      11.37       1.96       1.18      14.51      46.67
F1274311183     raw         28        274        259          5          5         10         20          9
